surface,chambres,sdb,etage,location,prix
71 m²,2 chambres,2 sdbs,Rez de chaussée,"Agadir, El Houda",840 000
85 m²,3 chambres,2 sdbs,Étage 1,"Agadir, Abattoirs",807 500
Not Specified,2 chambres,1 sdb,Étage 2,"Agadir, Abattoirs",598 500
52 m²,2 chambres,1 sdb,Étage 1,"Hay Mohammadi, Agadir",660 000
54 m²,2 chambres,1 sdb,Rez de chaussée,"Hay Mohammadi, Agadir",700 000
65 m²,2 chambres,1 sdb,Étage 3,"Hay Salam, Agadir",Not Specified
80 m²,2 chambres,2 sdbs,Étage 1,"Tamraght, Agadir",1 030 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,630 786
83 m²,2 chambres,2 sdbs,Étage 4,"Hay Massira, Agadir",Not Specified
Not Specified,3 chambres,Not Specified,Étage 2,"Hay Mohammadi, Agadir",400 000
Not Specified,1 chambre,1 sdb,Étage 5,"Haut-Founty, Agadir",1 370 000
71 m²,2 chambres,2 sdbs,Rez de chaussée,"El Houda, Agadir",840 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,550 000
106 m²,2 chambres,2 sdbs,Étage 7,"Hay Mohammadi, Agadir",1 300 000
47 m²,2 chambres,1 sdb,Étage 4,"Centre Ville, Agadir",430 000
Not Specified,3 chambres,2 sdbs,Étage 1,"Autre secteur, Agadir",730 000
74 m²,2 chambres,2 sdbs,Étage 1,"Abattoirs, Agadir",703 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,460 000
79 m²,3 chambres,0 sdb,Étage 5,"Hay Salam, Agadir",1 166 000
Not Specified,2 chambres,1 sdb,Étage 2,"Abattoirs, Agadir",598 500
105 m²,3 chambres,2 sdbs,Étage 1,"Founty, Agadir",1 944 535
85 m²,3 chambres,2 sdbs,Étage 1,"Abattoirs, Agadir",807 500
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 250 000
75 m²,2 chambres,2 sdbs,Étage 2,"Hay Mohammadi, Agadir",980 000
128 m²,3 chambres,1 sdb,Étage 1,"Founty, Agadir",3 172 000
58 m²,2 chambres,2 sdbs,Étage 2,"Autre secteur, Agadir",430 000
80 m²,2 chambres,2 sdbs,Étage 1,"Anza, Agadir",Not Specified
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
63 m²,2 chambres,2 sdbs,Étage 2,"Hay Mohammadi, Agadir",820 000
Not Specified,2 chambres,0 sdb,Étage 3,"El Houda, Agadir",1 290 000
87 m²,2 chambres,1 sdb,Étage 1,"Tamraght, Agadir",1 200 000
80 m²,3 chambres,2 sdbs,Étage 1,"Hay Mohammadi, Agadir",1 060 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
66 m²,2 chambres,2 sdbs,Étage 4,"Hay Massira, Agadir",Not Specified
56 m²,2 chambres,1 sdb,Étage 5,"Hay Mohammadi, Agadir",760 000
60 m²,2 chambres,2 sdbs,Étage 4,"Anza, Agadir",700 000
65 m²,2 chambres,1 sdb,Étage 3,"Autre secteur, Agadir",Not Specified
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,990 000
109 m²,3 chambres,2 sdbs,Étage 2,"Tilila, Agadir",Not Specified
101 m²,3 chambres,2 sdbs,Étage 2,"Hay Mohammadi, Agadir",Not Specified
53 m²,2 chambres,1 sdb,Étage 3,"Hay Salam, Agadir",650 000
75 m²,2 chambres,2 sdbs,Étage 3,"Cité Adrar, Agadir",Not Specified
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
Not Specified,2 chambres,2 sdbs,Étage 2,"Hay Mohammadi, Agadir",Not Specified
165 m²,3 chambres,2 sdbs,Étage 1,"El Houda, Agadir",Not Specified
Not Specified,2 chambres,2 sdbs,Étage 2,"Hay Mohammadi, Agadir",Not Specified
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
112 m²,3 chambres,2 sdbs,Étage 4,"Agadir, Sonaba",2 600 000
Not Specified,2 chambres,1 sdb,Étage 2,"Agadir, Abattoirs",598 500
71 m²,2 chambres,2 sdbs,Rez de chaussée,"Agadir, El Houda",840 000
94 m²,2 chambres,2 sdbs,Étage 4,"Sonaba, Agadir",2 400 000
Not Specified,3 chambres,2 sdbs,Étage 1,"Av Mokawama, Agadir",Not Specified
140 m²,3 chambres,2 sdbs,Étage 1,"Founty, Agadir",2 800 000
Not Specified,2 chambres,2 sdbs,Étage 2,"Hay Mohammadi, Agadir",Not Specified
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
Not Specified,3 chambres,2 sdbs,Étage 1,"Hay Mohammadi, Agadir",Not Specified
Not Specified,3 chambres,2 sdbs,Étage 2,"Hay Mohammadi, Agadir",Not Specified
112 m²,3 chambres,2 sdbs,Étage 4,"Sonaba, Agadir",2 600 000
116 m²,3 chambres,2 sdbs,Not Specified,"Hay Mohammadi, Agadir",1 450 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
86 m²,2 chambres,2 sdbs,Étage 2,"Autre secteur, Agadir",1 376 000
72 m²,2 chambres,1 sdb,Étage 4,"Tilila, Agadir",Not Specified
Not Specified,2 chambres,2 sdbs,Étage 9,"Hay Mohammadi, Agadir",Not Specified
77 m²,2 chambres,1 sdb,Étage 3,"El Houda, Agadir",820 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
54 m²,2 chambres,1 sdb,Rez de chaussée,"Hay Mohammadi, Agadir",560 000
90 m²,4 chambres,1 sdb,Étage 4,"Av Mokawama, Agadir",1 273 500
Not Specified,2 chambres,2 sdbs,Étage 1,"Hay Mohammadi, Agadir",Not Specified
104 m²,3 chambres,1 sdb,Étage 1,"Centre Ville, Agadir",1 456 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
Not Specified,3 chambres,0 sdb,Étage 5,"Tassila, Agadir",1 045 000
98 m²,2 chambres,2 sdbs,Étage 8,"Hay Mohammadi, Agadir",1 350 000
Not Specified,3 chambres,0 sdb,Étage 5,"Tassila, Agadir",860 000
66 m²,2 chambres,1 sdb,Étage 4,"Hay Salam, Agadir",920 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 117 813
151 m²,4 chambres,1 sdb,Étage 4,"Av Mokawama, Agadir",1 812 000
146 m²,4 chambres,1 sdb,Étage 1,"Talborjt, Agadir",1 946 000
57 m²,2 chambres,1 sdb,Étage 5,"Hay Salam, Agadir",650 000
54 m²,2 chambres,1 sdb,Étage 4,"Tilila, Agadir",460 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,850 000
83 m²,2 chambres,2 sdbs,Étage 1,"Hay Mohammadi, Agadir",860 000
87 m²,2 chambres,2 sdbs,Étage 2,"Hay Mohammadi, Agadir",120 000
76 m²,2 chambres,2 sdbs,Rez de chaussée,Agadir,Not Specified
106 m²,2 chambres,2 sdbs,Étage 8,"Hay Mohammadi, Agadir",1 300 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,949 000
113 m²,3 chambres,2 sdbs,Étage 4,"El Houda, Agadir",1 500 000
189 m²,3 chambres,2 sdbs,Étage 1,"Founty, Agadir",2 990 000
117 m²,3 chambres,2 sdbs,Étage 3,"El Houda, Agadir",1 150 000
Not Specified,1 chambre,1 sdb,Étage 2,"Hay Mohammadi, Agadir",840 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
Not Specified,3 chambres,Not Specified,Étage 4,"Le centre-ville, Agadir",770 000
160 m²,3 chambres,2 sdbs,Étage 2,"Autre secteur, Agadir",Not Specified
142 m²,1 chambre,1 sdb,Étage 3,"Autre secteur, Agadir",1 350 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
112 m²,3 chambres,2 sdbs,Étage 4,"Agadir, Sonaba",2 600 000
85 m²,3 chambres,2 sdbs,Étage 1,"Agadir, Abattoirs",807 500
66 m²,2 chambres,1 sdb,Étage 4,"Agadir, Hay Salam",920 000
Not Specified,2 chambres,1 sdb,Étage 4,"Hay Salam, Agadir",850 000
56 m²,2 chambres,1 sdb,Étage 2,"Taddart Anza, Agadir",390 000
77 m²,2 chambres,1 sdb,Étage 1,"El Houda, Agadir",1 250 000
75 m²,2 chambres,2 sdbs,Rez de chaussée,"Tassila, Agadir",820 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,740 000
52 m²,2 chambres,1 sdb,Étage 4,"Hay Mohammadi, Agadir",515 000
65 m²,2 chambres,1 sdb,Étage 3,"Hay Salam, Agadir",650 000
63 m²,2 chambres,1 sdb,Étage 2,"Hay Salam, Agadir",650 000
74 m²,2 chambres,2 sdbs,Rez de chaussée,"Founty, Agadir",1 680 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
84 m²,2 chambres,2 sdbs,Étage 5,"El Houda, Agadir",1 650 000
0 m²,2 chambres,2 sdbs,Étage 3,"Abattoirs, Agadir",Not Specified
88 m²,2 chambres,1 sdb,Étage 4,"Founty, Agadir",2 200 000
70 m²,1 chambre,1 sdb,Étage 3,"Hay Salam, Agadir",500
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
81 m²,2 chambres,2 sdbs,Rez de chaussée,"Hay Dakhla, Agadir",970 000
70 m²,2 chambres,2 sdbs,Étage 3,"Autre secteur, Agadir",540 000
Not Specified,2 chambres,1 sdb,Étage 3,"Cité Adrar, Agadir",480 000
80 m²,1 chambre,1 sdb,Étage 1,"Autre secteur, Agadir",300
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
128 m²,3 chambres,2 sdbs,Étage 9,"Hay Mohammadi, Agadir",1 600 000
107 m²,3 chambres,2 sdbs,Rez de chaussée,"Hay Mohammadi, Agadir",1 200 000
65 m²,2 chambres,1 sdb,Étage 1,"Hay Salam, Agadir",900 000
Not Specified,1 chambre,1 sdb,Étage 1,"Autre secteur, Agadir",300
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,630 786
Not Specified,2 chambres,1 sdb,Étage 6,"Hay Mohammadi, Agadir",570 000
97 m²,2 chambres,2 sdbs,Étage 5,"El Houda, Agadir",1 650 000
Not Specified,2 chambres,1 sdb,Rez de chaussée,"Hay Salam, Agadir",750 000
Not Specified,3 chambres,2 sdbs,Étage 4,"Av des Far, Agadir",Not Specified
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,890 000
45 m²,1 chambre,1 sdb,Étage 8,"Hay Mohammadi, Agadir",650 000
