surface,chambres,sdb,etage,location,prix
102 m²,3 chambres,2 sdbs,Étage 3,"Route Ain Chkaf, Fès",770 000
161 m²,3 chambres,2 sdbs,Rez de chaussée,"Autre secteur, Fès",830 000
Not Specified,1 chambre,Not Specified,Étage 1,"Ain Amiyer, Fès",250
Not Specified,3 chambres,1 sdb,Étage 1,"Route d'Immouzere, Fès",Not Specified
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,205 930
84 m²,3 chambres,2 sdbs,Étage 2,"Zouagha, Fès",500 000
215 m²,3 chambres,3 sdbs,Rez de chaussée,"Centre, Fès",1 200 000
140 m²,3 chambres,2 sdbs,Étage 2,"Al Hadiqa, Fès",620 000
Not Specified,3 chambres,2 sdbs,Étage 3,"Champ de course, Fès",1 270 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,630 000
Not Specified,2 chambres,1 sdb,Étage 3,"Centre, Fès",470 000
Not Specified,2 chambres,1 sdb,Étage 4,"Centre, Fès",450 000
213 m²,3 chambres,2 sdbs,Rez de chaussée,"Autre secteur, Fès",720 000
100 m²,3 chambres,2 sdbs,Étage 3,"Route Ain Chkaf, Fès",540 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 980 000
Not Specified,1 chambre,1 sdb,Étage 1,"Oued Fès, Fès",135 000
220 m²,3 chambres,3 sdbs,Rez de chaussée,"Centre, Fès",1 150 000
Not Specified,1 chambre,0 sdb,Rez de chaussée,"Oued Fès, Fès",100 000
115 m²,3 chambres,2 sdbs,Rez de chaussée,"Oued Fès, Fès",590 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 660 000
Not Specified,3 chambres,Not Specified,Étage 2,"Centre, Fès",750 000
84 m²,2 chambres,1 sdb,Étage 4,"Narjis, Fès",300 000
Not Specified,2 chambres,Not Specified,Étage 1,"Autre secteur, Fès",Not Specified
Not Specified,1 chambre,1 sdb,Étage 1,"Ain Amiyer, Fès",250
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,470 000
266 m²,3 chambres,3 sdbs,Étage 4,"Centre, Fès",1 300 000
80 m²,2 chambres,1 sdb,Étage 3,"Zouagha, Fès",240 000
Not Specified,3 chambres,1 sdb,Étage 1,"Hay Saada, Fès",620 000
139 m²,3 chambres,2 sdbs,Étage 1,"Route Ain Chkaf, Fès",1 150 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
80 m²,2 chambres,1 sdb,Étage 1,"Autre secteur, Fès",380
80 m²,2 chambres,1 sdb,Étage 1,"Autre secteur, Fès",380
Not Specified,2 chambres,Not Specified,Not Specified,"Zouagha, Fès",200 000
127 m²,3 chambres,2 sdbs,Étage 3,"Autre secteur, Fès",720 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,640 000
94 m²,3 chambres,1 sdb,Rez de chaussée,"Oued Fès, Fès",480 000
Not Specified,3 chambres,3 sdbs,Étage 1,"Oued Fès, Fès",880 000
Not Specified,3 chambres,1 sdb,Étage 5,"Centre, Fès",1 250 000
81 m²,2 chambres,1 sdb,Rez de chaussée,"Oued Fès, Fès",520 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,850 000
70 m²,2 chambres,1 sdb,Étage 2,"Narjis, Fès",4 200 000
80 m²,2 chambres,1 sdb,Étage 1,"Oued Fès, Fès",450 000
Not Specified,2 chambres,1 sdb,Étage 3,"Route d'Immouzere, Fès",330 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 660 000
100 m²,3 chambres,1 sdb,Étage 3,"Route de Sefrou, Fès",510 000
96 m²,3 chambres,2 sdbs,Étage 2,"Oued Fès, Fès",640 000
Not Specified,2 chambres,1 sdb,Étage 1,"Dher Lkhmiss, Fès",280 000
75 m²,2 chambres,1 sdb,Étage 2,"Route de Sefrou, Fès",430 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,205 930
60 m²,2 chambres,1 sdb,Étage 1,"Zouagha, Fès",170 000
169 m²,4 chambres,2 sdbs,Étage 2,"Agdal, Fès",11 000
144 m²,3 chambres,3 sdbs,Étage 4,Fès,1 130 000
112 m²,2 chambres,2 sdbs,Étage 1,"Autre secteur, Fès",650 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,222 480
84 m²,3 chambres,2 sdbs,Étage 2,"Hay Saada, Fès",Not Specified
137 m²,3 chambres,2 sdbs,Étage 1,"Route Ain Chkaf, Fès",1 150 000
108 m²,2 chambres,1 sdb,Étage 2,"Autre secteur, Fès",450 000
72 m²,2 chambres,1 sdb,Étage 2,"Route de Sefrou, Fès",360 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 710 000
74 m²,3 chambres,1 sdb,Rez de chaussée,"Route Ain Chkaf, Fès",500 000
201 m²,4 chambres,3 sdbs,Étage 7,"Agdal, Fès",1 990 000
150 m²,2 chambres,3 sdbs,Étage 1,"Mont fleuri, Fès",580 000
211 m²,3 chambres,3 sdbs,Étage 3,"Hay Atlas, Fès",1 160 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,395 904
