surface,chambres,sdb,etage,location,prix
78 m²,2 chambres,2 sdbs,Étage 2,"Marrakech, Guéliz",Not Specified
220 m²,3 chambres,5 sdbs,Étage 1,"Marrakech, Annakhil",3 200 000
56 m²,1 chambre,1 sdb,Étage 2,"Marrakech, Guéliz",Not Specified
200 m²,3 chambres,2 sdbs,Étage 1,"Hivernage, Marrakech",4 500 000
40 m²,1 chambre,0 sdb,Étage 1,"Guéliz, Marrakech",1 111 000
Not Specified,1 chambre,1 sdb,Étage 1,"Semlalia, Marrakech",740 000
50 m²,1 chambre,1 sdb,Étage 3,"Guéliz, Marrakech",1 250 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
83 m²,2 chambres,0 sdb,Étage 1,"Route de Casablanca, Marrakech",1 300 000
127230 m²,1 chambre,0 sdb,Rez de chaussée,"Autre secteur, Marrakech",230 000
64 m²,1 chambre,2 sdbs,Étage 1,"Guéliz, Marrakech",1 650 000
Not Specified,2 chambres,1 sdb,Rez de chaussée,"Guéliz, Marrakech",1 650 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 036 000
74 m²,3 chambres,1 sdb,Étage 2,"Autre secteur, Marrakech",640 000
Not Specified,1 chambre,Not Specified,Étage 1,"Route de Casablanca, Marrakech",670 000
100 m²,3 chambres,2 sdbs,Étage 1,"Guéliz, Marrakech",1 690 000
106 m²,3 chambres,2 sdbs,Étage 2,"Socoma, Marrakech",960 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 505 000
Not Specified,1 chambre,1 sdb,Étage 3,"Victor Hugo, Marrakech",1 100 000
Not Specified,3 chambres,2 sdbs,Rez de chaussée,"Hay Charaf, Marrakech",2 000 000
48 m²,1 chambre,0 sdb,Étage 1,"Guéliz, Marrakech",1 212 500
71 m²,1 chambre,1 sdb,Étage 3,"Guéliz, Marrakech",400
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 370 800
Not Specified,3 chambres,2 sdbs,Étage 1,"Route de Tahanaoute, Marrakech",2 100 000
112 m²,3 chambres,1 sdb,Étage 2,"M'Hamid, Marrakech",830 000
179 m²,4 chambres,2 sdbs,Étage 1,"Centre Ville, Marrakech",1 950 000
Not Specified,1 chambre,0 sdb,Rez de chaussée,"Route de Fès, Marrakech",790 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
Not Specified,2 chambres,2 sdbs,Étage 2,"Guéliz, Marrakech",1 390 000
97 m²,3 chambres,1 sdb,Étage 1,"M'Hamid, Marrakech",745 000
50 m²,2 chambres,1 sdb,Rez de chaussée,"Route de Tamansourt, Marrakech",250 000
Not Specified,1 chambre,1 sdb,Étage 1,"Guéliz, Marrakech",895 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 549 600
69 m²,1 chambre,1 sdb,Étage 3,"Guéliz, Marrakech",400
45 m²,1 chambre,1 sdb,Étage 3,"Route de Casablanca, Marrakech",900 000
87 m²,3 chambres,1 sdb,Étage 3,"Bd Moulay Abdellah, Marrakech",920 000
Not Specified,1 chambre,1 sdb,Rez de chaussée,"Guéliz, Marrakech",1 450 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,250 000
Not Specified,3 chambres,2 sdbs,Étage 4,"Guéliz, Marrakech",1 850 000
63 m²,1 chambre,1 sdb,Étage 4,"Guéliz, Marrakech",1 830 000
71 m²,2 chambres,2 sdbs,Étage 2,"Guéliz, Marrakech",1 100 000
52 m²,1 chambre,2 sdbs,Étage 1,"Guéliz, Marrakech",1 450 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,460 000
101 m²,2 chambres,2 sdbs,Étage 1,"Agdal, Marrakech",2 828 000
56 m²,2 chambres,1 sdb,Étage 1,"Guéliz, Marrakech",896 000
53 m²,1 chambre,1 sdb,Étage 3,"Victor Hugo, Marrakech",998 700
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,755 500
Not Specified,1 chambre,0 sdb,Rez de chaussée,"Marrakech, Route de Fès",790 000
48 m²,1 chambre,1 sdb,Étage 2,"Marrakech, Guéliz",Not Specified
80 m²,2 chambres,1 sdb,Étage 4,"Marrakech, Guéliz",1 650 000
126 m²,3 chambres,2 sdbs,Rez de chaussée,"Guéliz, Marrakech",2 300 000
56 m²,1 chambre,1 sdb,Étage 2,"Guéliz, Marrakech",Not Specified
113 m²,4 chambres,3 sdbs,Étage 2,"Targa, Marrakech",11 000
99 m²,2 chambres,1 sdb,Étage 4,"Route de Casablanca, Marrakech",1 560 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 189 000
52 m²,2 chambres,1 sdb,Étage 2,"Es Saada, Marrakech",520 000
Not Specified,2 chambres,1 sdb,Rez de chaussée,"Route de Tamansourt, Marrakech",380 000
69 m²,2 chambres,1 sdb,Étage 1,"Les Portes de Marrakech, Marrakech",550 000
75 m²,2 chambres,2 sdbs,Étage 2,"Victor Hugo, Marrakech",1 300 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
89 m²,2 chambres,2 sdbs,Étage 1,"Agdal, Marrakech",2 380 000
Not Specified,2 chambres,1 sdb,Étage 2,"Route de Casablanca, Marrakech",1 250 000
56 m²,1 chambre,1 sdb,Étage 3,"Guéliz, Marrakech",1 200 000
Not Specified,3 chambres,2 sdbs,Étage 5,"Route de Casablanca, Marrakech",1 800 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,630 000
55 m²,2 chambres,1 sdb,Étage 2,"Autre secteur, Marrakech",490 000
50 m²,2 chambres,1 sdb,Étage 5,"Route de Casablanca, Marrakech",450 000
52 m²,2 chambres,1 sdb,Étage 2,"Mabrouka, Marrakech",450 000
61 m²,1 chambre,1 sdb,Étage 1,"Av Abdelkrim El Khattabi, Marrakech",1 526 500
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 360 000
74 m²,1 chambre,2 sdbs,Rez de chaussée,"Av Abdelkrim El Khattabi, Marrakech",1 708 000
82 m²,3 chambres,1 sdb,Étage 3,"Route de Safi, Marrakech",820 000
61 m²,1 chambre,1 sdb,Étage 1,"Guéliz, Marrakech",1 500 000
135 m²,3 chambres,2 sdbs,Rez de chaussée,"Majorelle, Marrakech",1 700 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,690 000
Not Specified,2 chambres,2 sdbs,Étage 1,"Guéliz, Marrakech",2 900 000
61 m²,1 chambre,1 sdb,Étage 1,"Guéliz, Marrakech",1 530 000
82 m²,2 chambres,2 sdbs,Étage 2,"Route de Safi, Marrakech",1 600 000
87 m²,2 chambres,1 sdb,Étage 4,"Palmeraie, Marrakech",1 550 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 715 000
65 m²,1 chambre,1 sdb,Étage 4,"Guéliz, Marrakech",1 498 000
60 m²,2 chambres,1 sdb,Étage 2,"Guéliz, Marrakech",1 320 000
53 m²,2 chambres,0 sdb,Rez de chaussée,"Hay Izdihar, Marrakech",640 000
70 m²,2 chambres,1 sdb,Étage 3,"Hay Charaf, Marrakech",890 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 085 000
100 m²,3 chambres,2 sdbs,Rez de chaussée,"Targa, Marrakech",1 150 000
83 m²,3 chambres,1 sdb,Étage 3,"Route de Safi, Marrakech",900 000
47 m²,1 chambre,1 sdb,Rez de chaussée,"Allal El Fassi, Marrakech",700 000
38 m²,1 chambre,1 sdb,Étage 1,"Route de Casablanca, Marrakech",570 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,690 000
Not Specified,3 chambres,2 sdbs,Étage 1,"Victor Hugo, Marrakech",1 500 000
Not Specified,3 chambres,2 sdbs,Étage 3,"Semlalia, Marrakech",1 200 000
Not Specified,1 chambre,1 sdb,Étage 1,"Guéliz, Marrakech",1 300 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 036 000
42 m²,1 chambre,1 sdb,Étage 3,"Marrakech, Sidi Abbad",Not Specified
53 m²,1 chambre,1 sdb,Étage 3,"Marrakech, Victor Hugo",998 700
48 m²,1 chambre,1 sdb,Rez de chaussée,"Marrakech, Palmeraie",520 000
100 m²,3 chambres,1 sdb,Étage 1,"Autre secteur, Marrakech",950 000
134 m²,3 chambres,2 sdbs,Étage 1,"Bouaakkaz, Marrakech",950 000
134 m²,3 chambres,1 sdb,Étage 1,"Hivernage, Marrakech",2 747 000
56 m²,1 chambre,2 sdbs,Étage 1,"Victor Hugo, Marrakech",1 160 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
46 m²,1 chambre,1 sdb,Étage 2,"Guéliz, Marrakech",Not Specified
87 m²,2 chambres,1 sdb,Étage 3,"Hivernage, Marrakech",1 300 000
97 m²,2 chambres,1 sdb,Étage 5,"Guéliz, Marrakech",2 330 000
85 m²,1 chambre,1 sdb,Rez de chaussée,"Palmeraie, Marrakech",1 450 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,445 000
Not Specified,1 chambre,2 sdbs,Étage 1,"Victor Hugo, Marrakech",1 350 000
78 m²,2 chambres,2 sdbs,Étage 2,"Guéliz, Marrakech",Not Specified
75 m²,2 chambres,1 sdb,Étage 5,"Victor Hugo, Marrakech",1 150 000
57 m²,2 chambres,1 sdb,Étage 4,"Les Portes de Marrakech, Marrakech",300 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 009 000
48 m²,1 chambre,1 sdb,Étage 2,"Guéliz, Marrakech",Not Specified
65 m²,2 chambres,2 sdbs,Étage 2,"M'Hamid, Marrakech",430 000
54 m²,2 chambres,1 sdb,Étage 2,"Autre secteur, Marrakech",480 000
85 m²,2 chambres,2 sdbs,Rez de chaussée,"Palmeraie, Marrakech",1 500 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,968 000
85 m²,1 chambre,2 sdbs,Rez de chaussée,"Palmeraie, Marrakech",1 450 000
97 m²,3 chambres,2 sdbs,Étage 5,"Massira 1, Marrakech",880 000
48 m²,1 chambre,1 sdb,Rez de chaussée,"Palmeraie, Marrakech",520 000
57 m²,1 chambre,1 sdb,Étage 1,"Guéliz, Marrakech",1 130 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 715 000
71 m²,2 chambres,1 sdb,Étage 1,"Autre secteur, Marrakech",685 000
Not Specified,1 chambre,1 sdb,Étage 1,"Guéliz, Marrakech",1 300 000
67 m²,2 chambres,1 sdb,Étage 4,"Hay Izdihar, Marrakech",750 000
Not Specified,1 chambre,1 sdb,Étage 1,"Av Abdelkrim El Khattabi, Marrakech",850 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,980 000
50 m²,3 chambres,1 sdb,Étage 3,"M'Hamid, Marrakech",360 000
279 m²,4 chambres,1 sdb,Rez de chaussée,"Autre secteur, Marrakech",230 000
52 m²,2 chambres,1 sdb,Étage 2,"Es Saada, Marrakech",520 000
111 m²,2 chambres,2 sdbs,Rez de chaussée,"Agdal, Marrakech",2 622 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 560 000
Not Specified,Not Specified,Not Specified,Not Specified,"Route d'Amezmiz, Marrakech",920 000
92 m²,3 chambres,2 sdbs,Rez de chaussée,"Allal El Fassi, Marrakech",1 080 000
Not Specified,2 chambres,Not Specified,Étage 1,"Hay Charaf, Marrakech",820 000
Not Specified,1 chambre,1 sdb,Étage 1,"Hay Charaf, Marrakech",750 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
91 m²,3 chambres,1 sdb,Étage 3,"M'Hamid, Marrakech",830 000
66 m²,2 chambres,1 sdb,Not Specified,"Hay Charaf, Marrakech",750 000
Not Specified,3 chambres,1 sdb,Étage 2,"Allal El Fassi, Marrakech",6 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,250 000
80 m²,2 chambres,1 sdb,Étage 4,"Marrakech, Guéliz",1 650 000
78 m²,2 chambres,2 sdbs,Étage 2,"Marrakech, Guéliz",Not Specified
135 m²,3 chambres,2 sdbs,Rez de chaussée,"Marrakech, Majorelle",1 700 000
73 m²,2 chambres,2 sdbs,Étage 1,"Bouaakkaz, Marrakech",920 000
