surface,chambres,sdb,etage,location,prix
Not Specified,3 chambres,1 sdb,Étage 1,"Meknès, Autre secteur",390 000
60 m²,2 chambres,1 sdb,Rez de chaussée,"Meknès, Autre secteur",350 000
106 m²,3 chambres,2 sdbs,Étage 1,"Meknès, Marjane 2",805 000
58 m²,2 chambres,2 sdbs,Étage 2,"Autre secteur, Meknès",250 000
Not Specified,2 chambres,2 sdbs,Étage 4,"Hamria, Meknès",620 000
69 m²,2 chambres,2 sdbs,Étage 6,"El Bassatine, Meknès",450 000
70 m²,3 chambres,2 sdbs,Étage 1,"Autre secteur, Meknès",Not Specified
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,250 000
120 m²,2 chambres,2 sdbs,Étage 2,"Zitoune, Meknès",385 000
55 m²,2 chambres,1 sdb,Étage 3,"Autre secteur, Meknès",320 000
Not Specified,Not Specified,Not Specified,Not Specified,"Autre secteur, Meknès",360 000
Not Specified,2 chambres,1 sdb,Étage 2,"Wislane, Meknès",Not Specified
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,783 000
112 m²,3 chambres,2 sdbs,Étage 1,"Hamria, Meknès",650 000
60 m²,2 chambres,1 sdb,Étage 1,"Wislane, Meknès",150 000
Not Specified,2 chambres,1 sdb,Étage 2,"Hamria, Meknès",20 000 000
76 m²,2 chambres,1 sdb,Étage 4,"Hamria, Meknès",620 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
106 m²,3 chambres,2 sdbs,Étage 1,"Marjane 2, Meknès",805 000
52 m²,2 chambres,1 sdb,Étage 1,"Autre secteur, Meknès",190 000
110 m²,3 chambres,1 sdb,Rez de chaussée,"El Bassatine, Meknès",Not Specified
110 m²,3 chambres,1 sdb,Rez de chaussée,"El Bassatine, Meknès",54
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
104 m²,2 chambres,1 sdb,Étage 5,"Hamria, Meknès",390 000
60 m²,2 chambres,1 sdb,Rez de chaussée,"Autre secteur, Meknès",350 000
Not Specified,3 chambres,1 sdb,Étage 1,"Autre secteur, Meknès",390 000
90 m²,3 chambres,2 sdbs,Étage 2,"Autre secteur, Meknès",360 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,381 984
60 m²,2 chambres,1 sdb,Étage 1,"Marjane 2, Meknès",330 000
Not Specified,1 chambre,1 sdb,Étage 3,"Autre secteur, Meknès",270 000
Not Specified,2 chambres,Not Specified,Étage 3,"Ancienne Médina, Meknès",500 000
116 m²,3 chambres,2 sdbs,Étage 1,"Hamria, Meknès",870 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,205 930
60 m²,3 chambres,1 sdb,Étage 3,"Marjane 2, Meknès",60 000
140 m²,3 chambres,3 sdbs,Étage 1,"Marjane 2, Meknès",56
50 m²,2 chambres,1 sdb,Rez de chaussée,"Autre secteur, Meknès",190 000
80 m²,3 chambres,1 sdb,Étage 2,"Autre secteur, Meknès",440 000
100 m²,3 chambres,1 sdb,Étage 1,"Wislane, Meknès",360 000
72 m²,2 chambres,1 sdb,Étage 4,"Autre secteur, Meknès",280 000
124 m²,3 chambres,2 sdbs,Étage 3,"Autre secteur, Meknès",820 000
156 m²,3 chambres,2 sdbs,Étage 2,"Autre secteur, Meknès",1 280 000
140 m²,3 chambres,2 sdbs,Étage 3,"Autre secteur, Meknès",Not Specified
84 m²,3 chambres,2 sdbs,Étage 1,"Autre secteur, Meknès",430 000
65 m²,2 chambres,1 sdb,Étage 4,"Wislane, Meknès",22
106 m²,3 chambres,2 sdbs,Étage 1,"Meknès, Marjane 2",805 000
Not Specified,3 chambres,1 sdb,Étage 1,"Meknès, Autre secteur",390 000
60 m²,2 chambres,1 sdb,Rez de chaussée,"Meknès, Autre secteur",350 000
247 m²,3 chambres,3 sdbs,Étage 1,"Ville Nouvelle, Meknès",1 800 000
125 m²,3 chambres,2 sdbs,Étage 3,"Hamria, Meknès",Not Specified
200 m²,3 chambres,2 sdbs,Étage 2,"Hamria, Meknès",Not Specified
0 m²,3 chambres,2 sdbs,Étage 2,"Hamria, Meknès",Not Specified
123 m²,3 chambres,2 sdbs,Étage 5,"Hamria, Meknès",Not Specified
142 m²,3 chambres,2 sdbs,Étage 2,"Hamria, Meknès",Not Specified
73 m²,3 chambres,2 sdbs,Étage 3,"Autre secteur, Meknès",330 000
65 m²,2 chambres,Not Specified,Étage 3,"Marjane 2, Meknès",Not Specified
