surface,chambres,sdb,etage,location,prix
107 m²,4 chambres,2 sdbs,Étage 2,"Rabat, Hay Riad",1 150 000
Not Specified,4 chambres,4 sdbs,Étage 1,"Rabat, Hay Riad",8 000 000
140 m²,3 chambres,2 sdbs,Not Specified,"Rabat, Riyad",3 600 000
138 m²,3 chambres,2 sdbs,Étage 2,"Hay Riad, Rabat",Not Specified
137 m²,3 chambres,2 sdbs,Étage 2,"Hay Riad, Rabat",Not Specified
150 m²,3 chambres,2 sdbs,Étage 1,"Agdal, Rabat",3 400 000
120 m²,2 chambres,2 sdbs,Rez de chaussée,"Hay Riad, Rabat",2 500 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 410 000
210 m²,3 chambres,3 sdbs,Étage 4,"Hay Riad, Rabat",4 300 000
135 m²,3 chambres,3 sdbs,Étage 1,"Guich Oudaya, Rabat",2 200 000
Not Specified,4 chambres,4 sdbs,Étage 1,"Hay Riad, Rabat",8 000 000
140 m²,3 chambres,2 sdbs,Not Specified,"Riyad, Rabat",3 600 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,390 000
Not Specified,2 chambres,2 sdbs,Étage 1,"Massira, Rabat",850 000
Not Specified,3 chambres,2 sdbs,Étage 1,"Agdal, Rabat",3 200 000
128 m²,2 chambres,2 sdbs,Étage 1,"Hassan, Rabat",6 500 000
122 m²,3 chambres,3 sdbs,Étage 3,"Hay Riad, Rabat",3 700 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,9 900
150 m²,3 chambres,1 sdb,Étage 7,"Hay Riad, Rabat",3 800 000
200 m²,3 chambres,2 sdbs,Étage 5,"Hassan, Rabat",3 100 000
156 m²,3 chambres,2 sdbs,Étage 4,"Souissi, Rabat",6 600 000
117 m²,3 chambres,2 sdbs,Étage 4,"Hassan, Rabat",2 500 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,721 600
170 m²,3 chambres,3 sdbs,Étage 4,"Agdal, Rabat",3 200 000
150 m²,2 chambres,1 sdb,Étage 1,"Souissi, Rabat",Not Specified
121 m²,3 chambres,2 sdbs,Rez de chaussée,"Hay Riad, Rabat",2 350 000
369 m²,4 chambres,2 sdbs,Étage 1,"Hassan, Rabat",3 700 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,9 900
Not Specified,4 chambres,3 sdbs,Étage 4,"Hay Riad, Rabat",3 850 000
100 m²,2 chambres,2 sdbs,Rez de chaussée,"Hay Riad, Rabat",Not Specified
110 m²,2 chambres,2 sdbs,Étage 4,"Diour Jamaa, Rabat",1 300 000
156 m²,4 chambres,3 sdbs,Étage 3,"Hay Riad, Rabat",Not Specified
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,620 400
119 m²,3 chambres,3 sdbs,Étage 1,"Riyad Extension, Rabat",Not Specified
144 m²,3 chambres,2 sdbs,Rez de chaussée,"Hay Riad, Rabat",3 250 000
Not Specified,3 chambres,2 sdbs,Étage 3,"Autre secteur, Rabat",Not Specified
155 m²,4 chambres,3 sdbs,Rez de chaussée,"Agdal, Rabat",3 600 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,680 000
Not Specified,2 chambres,3 sdbs,Rez de chaussée,"Massira, Rabat",1 200 000
