surface,chambres,sdb,etage,location,prix
76 m²,2 chambres,2 sdbs,Étage 4,"Tanger, Mesnana",15 000
80 m²,2 chambres,1 sdb,Étage 2,"Tanger, Malabata",Not Specified
189 m²,3 chambres,2 sdbs,Étage 7,"Tanger, Centre ville",2 700 000
132 m²,3 chambres,2 sdbs,Étage 3,"Marjane, Tanger",13 500
Not Specified,3 chambres,2 sdbs,Étage 2,"Moujahidine, Tanger",Not Specified
141 m²,3 chambres,2 sdbs,Étage 5,"Centre ville, Tanger",2 120 000
130 m²,2 chambres,2 sdbs,Étage 1,"Malabata, Tanger",Not Specified
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,250 000
Not Specified,2 chambres,1 sdb,Étage 7,"Hay Hassani, Tanger",1 200 000
Not Specified,3 chambres,2 sdbs,Étage 4,"Centre ville, Tanger",1 550 000
Not Specified,2 chambres,Not Specified,Étage 6,"Autre secteur, Tanger",460 000
70 m²,2 chambres,1 sdb,Étage 6,"Autre secteur, Tanger",620 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
94 m²,3 chambres,1 sdb,Étage 3,"Ziatene, Tanger",1 250 000
69 m²,2 chambres,2 sdbs,Étage 2,"Achakar, Tanger",Not Specified
220 m²,3 chambres,2 sdbs,Étage 9,"Iberie, Tanger",7 500 000
90 m²,3 chambres,2 sdbs,Étage 2,"Aharrarine, Tanger",Not Specified
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,930 600
Not Specified,Not Specified,Not Specified,Not Specified,"Iberie, Tanger",Not Specified
125 m²,3 chambres,3 sdbs,Étage 1,"Marjane, Tanger",15 000
52 m²,2 chambres,1 sdb,Étage 2,"Centre, Tanger",Not Specified
101 m²,2 chambres,2 sdbs,Étage 3,"Malabata, Tanger",2 820 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,685 000
Not Specified,4 chambres,1 sdb,Étage 3,"Malabata, Tanger",2 850 000
79 m²,2 chambres,2 sdbs,Étage 1,"Ziatene, Tanger",1 100 000
80 m²,3 chambres,2 sdbs,Étage 5,"Aharrarine, Tanger",690 000
86 m²,2 chambres,1 sdb,Étage 3,"Hay Hassani, Tanger",13 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,685 000
66 m²,2 chambres,1 sdb,Étage 1,"Autre secteur, Tanger",590 000
