surface,chambres,sdb,etage,location,prix
54 m²,1 chambre,1 sdb,Étage 5,"Casablanca, Maarif",1 295 900
56 m²,1 chambre,1 sdb,Étage 5,"Casablanca, Oasis",1 100 000
99 m²,3 chambres,2 sdbs,Étage 4,"Casablanca, Oulfa",1 000 000
71 m²,2 chambres,1 sdb,Étage 2,"Hay Hassani, Casablanca",1 020 000
143 m²,3 chambres,2 sdbs,Étage 2,"Californie, Casablanca",Not Specified
126 m²,3 chambres,2 sdbs,Étage 4,"Sidi Belyout, Casablanca",1 810 000
Not Specified,1 chambre,1 sdb,Étage 1,"Maarif, Casablanca",920 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2 122 500
88 m²,3 chambres,2 sdbs,Étage 3,"Aïn Chock, Casablanca",1 238 000
Not Specified,1 chambre,1 sdb,Étage 2,"Casablanca Finance City, Casablanca",920 000
76 m²,2 chambres,1 sdb,Étage 2,"Sidi Othmane, Casablanca",440 000
58 m²,2 chambres,1 sdb,Étage 2,"Sidi Bernoussi, Casablanca",40 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 199 000
Not Specified,2 chambres,2 sdbs,Étage 1,"La Gironde, Casablanca",Not Specified
70 m²,3 chambres,1 sdb,Étage 2,"Belvédère, Casablanca",640 000
69 m²,3 chambres,1 sdb,Étage 4,"Sidi Bernoussi, Casablanca",360 000
42 m²,1 chambre,1 sdb,Étage 3,"Belvédère, Casablanca",680 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 550 000
99 m²,2 chambres,2 sdbs,Étage 1,"Sidi Maarouf, Casablanca",Not Specified
91 m²,2 chambres,1 sdb,Étage 2,"Autre secteur, Casablanca",960 000
103 m²,3 chambres,1 sdb,Étage 4,"Autre secteur, Casablanca",1 400 000
175 m²,3 chambres,2 sdbs,Rez de chaussée,"Sidi Belyout, Casablanca",2 000 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,200 000
54 m²,1 chambre,1 sdb,Étage 5,"Maarif, Casablanca",1 295 900
242 m²,3 chambres,3 sdbs,Étage 1,"Oasis, Casablanca",3 700 000
Not Specified,1 chambre,2 sdbs,Étage 3,"Bachkou, Casablanca",1 205 000
88 m²,2 chambres,2 sdbs,Étage 5,"Maârif Extension, Casablanca",1 730 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,756 500
101 m²,2 chambres,1 sdb,Étage 4,"Californie, Casablanca",900 000
149 m²,3 chambres,1 sdb,Étage 4,"Mers Sultan, Casablanca",1 890 000
112 m²,3 chambres,2 sdbs,Rez de chaussée,"Sidi Bernoussi, Casablanca",920 000
244 m²,3 chambres,2 sdbs,Rez de chaussée,"Racine, Casablanca",5 000 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,250 000
52 m²,2 chambres,1 sdb,Étage 1,"Mers Sultan, Casablanca",1 100 000
62 m²,1 chambre,1 sdb,Étage 4,"Al Qods, Casablanca",645 000
70 m²,3 chambres,2 sdbs,Étage 2,"Errahma, Casablanca",520 000
70 m²,2 chambres,0 sdb,Rez de chaussée,"Ain Sebaa, Casablanca",800 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,250 000
127 m²,2 chambres,2 sdbs,Étage 3,"Hay Mohammadi, Casablanca",1 150 000
116 m²,3 chambres,1 sdb,Étage 5,"Autre secteur, Casablanca",1 320 000
121 m²,2 chambres,1 sdb,Étage 3,"Roches Noires, Casablanca",1 140 000
129 m²,2 chambres,3 sdbs,Étage 1,"Aïn Diab, Casablanca",1 820 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,10 500
101 m²,2 chambres,2 sdbs,Étage 2,"Belvédère, Casablanca",1 250 000
68 m²,2 chambres,1 sdb,Rez de chaussée,"Autre secteur, Casablanca",990 000
155 m²,4 chambres,2 sdbs,Étage 4,"Belvédère, Casablanca",1 700 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,637 500
60 m²,1 chambre,1 sdb,Étage 3,"Casablanca, Abdelmoumen",1 050 000
50 m²,2 chambres,1 sdb,Rez de chaussée,"Casablanca, Oulfa",490 000
76 m²,3 chambres,2 sdbs,Étage 2,"Casablanca, Almaz",896 800
214 m²,3 chambres,2 sdbs,Étage 3,"Belvédère, Casablanca",1 790 000
144 m²,2 chambres,2 sdbs,Rez de chaussée,"Californie, Casablanca",1 550 000
197 m²,3 chambres,1 sdb,Étage 1,"Mers Sultan, Casablanca",2 500 000
59 m²,1 chambre,1 sdb,Étage 2,"Autre secteur, Casablanca",700 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 135 000
104 m²,Not Specified,Not Specified,Not Specified,"Autre secteur, Casablanca",1 800 000
94 m²,Not Specified,Not Specified,Not Specified,"Autre secteur, Casablanca",1 350 000
104 m²,Not Specified,Not Specified,Not Specified,"Autre secteur, Casablanca",1 350 000
106 m²,2 chambres,2 sdbs,Étage 2,"Mandarona, Casablanca",1 780 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2 400 000
Not Specified,3 chambres,1 sdb,Étage 3,"Hay Hassani, Casablanca",Not Specified
176 m²,3 chambres,2 sdbs,Étage 2,"2 Mars, Casablanca",2 200 000
105 m²,2 chambres,2 sdbs,Étage 3,"Maarif, Casablanca",2 700 000
46 m²,1 chambre,1 sdb,Étage 2,"Val Fleuri, Casablanca",1 380 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,3 850 000
52 m²,1 chambre,1 sdb,Étage 1,"Bourgogne, Casablanca",1 150 000
Not Specified,3 chambres,2 sdbs,Étage 2,"Sidi Maarouf, Casablanca",600 000
Not Specified,Not Specified,Not Specified,Not Specified,Casablanca,1 200 000
Not Specified,3 chambres,2 sdbs,Étage 2,"2 Mars, Casablanca",1 560 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,744 000
60 m²,2 chambres,1 sdb,Rez de chaussée,"Autre secteur, Casablanca",Not Specified
Not Specified,Not Specified,Not Specified,Not Specified,"Sidi Bernoussi, Casablanca",Not Specified
74 m²,2 chambres,1 sdb,Rez de chaussée,"Anfa, Casablanca",270 000
136 m²,3 chambres,1 sdb,Étage 3,"Bourgogne, Casablanca",2 300 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,940 000
77 m²,2 chambres,2 sdbs,Étage 2,"Maarif, Casablanca",1 295 000
50 m²,2 chambres,1 sdb,Étage 1,"Oulfa, Casablanca",360 000
Not Specified,1 chambre,1 sdb,Étage 5,"Anfa, Casablanca",950 000
